disodium tetramethylhexadecenylcysteine formylprolinate;динатрия тетраметилгексадеценилцистеина формилпролинат
(angelica acutiloba/paeonia lactiflora) root/cnidium officinale rhizome extract;(дягиль остролистный / пион молочноцветковый) экстракт корня / корневища книдиума лекарственного
(arctium lappa/raphanus sativus/malva verticillata) seed oil;(arctium lappa/raphanus sativus/malva verticillata) масло семян
(liquidambar styraciflua/tribulus terrestris) fruit/paeonia lactiflora root extract;(liquidambar styraciflua/tribulus terrestris) плоды/экстракт корня пиона молочноцветкового
acrylates/va/vinyl neodecanoate copolymer;сополимер акрилатов/ва/винилнеодеканоата
astrocaryum vulgare seed butter;масло семян астрокарии обыкновенной
barley sh-polypeptide-17;ячмень sh-полипептид-17
citrullus lanatus seed powder;порошок семян цитруллуса ланатус
daucus carota sativa leaf extract;Экстракт листьев daucus carota sativa
gossypium hirsutum seed extract;экстракт семян госсипиума гирсутума
hydrolyzed bee larva extract;гидролизованный экстракт пчелиных личинок
hydrolyzed forsythia viridissima fruit/(cimicifuga dahurica/glycyrrhiza glabra /paeonia lactiflora/platycodon grandiflorus/pueraria lobata) root extract;экстракт корня гидролизата форзиции виридиссимой/(cimicifuga dahurica/солодки голой/paeonia lactiflora/platycodon grandiflorus/pueraria lobata)
ictasol;иктасол
isooctanoyl tetrapeptide-25;изооктаноилтетрапептид-25
lactobacillus/germinated soybean ferment filtrate;лактобациллы/фильтрат пророщенного соевого фермента
methoxyethanol;метоксиэтанол
myristoyl glycine/histidine/lysine polypeptide;полипептид миристоилглицин/гистидин/лизин
nonapeptide-11;нонапептид-11
pentaclethra macrophylla seed oil;масло семян Pentaclethra macrophylla
trisodium tetramethylhexadecenylcysteine bis-carboxymethyl formylamine;тринатрия тетраметилгексадеценилцистеин бис-карбоксиметилформиламин
(20s)-protopanaxadiol;(20s)-протопанаксадиол
(agaricus blazei ferment + ganoderma lucidum ferment + ganoderma multipileum ferment) extract;(фермент агарикус блазей + фермент ганодермы лакированной + фермент ганодерма многопилеум) экстракт
